DEVICE NAME,DESCRIPTION,DIRECTORY NUMBER 1,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 22,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 25,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 29,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 5
CIPCaa,|99PST|2FFSS|CIPC|STD||Spencer Alpaugh|UNKNOWN|FOP||NON|,551122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggaaCA,|BDFMAVLAN|5FRMU|92|BAS||Bedford Huddle Room|FCH2J|NTX|NON|NON|NON,551123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggAaa,|BDFMAVLAN|5FRMU|92|BAS|2|Julie Fiore|FCH295F|NTX||NON|NON,551124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCAggE,|BDFMAVLAN|5FRMU|92|BAS||Kelly Tracy|FCHFXR|NTX||NON|NON,551125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFCEBB,|BDFMAVLAN|5FRMU|92|BAS||Daniel Dunne|FCH259EP|NTX||NON|NON,551126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFDFC,|BDFMAVLAN|5FRMU|92|BAS|2|Maria Sanderson|FCH259ES|NTX||NON|NON,551127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBEE,|BDFMAVLAN|5FRMU|92|BAS|2|Maria Sanderson|FCHG9H|NTX||NON|NON,551128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggA,|BDFMAVLAN|5FRMU|92|BAS|22|Takuya Mizusawa|FCH9UT2|NTX||NON|NON,551129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaDA,|BDFMAVLAN|5FRMU|92|BAS|2|Eric Legro|FCHAZ|NTX||NON|NON,551130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCDC,|BDFMAVLAN|5FRMU|92|BAS|2|Andy Feather|FCHGKU|NTX||NON|NON,551131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
