cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origSpan,origIpAddr,callingPartyNumber,origCause_location,origCause_value,origPrecedenceLevel,origMediaTransportAddress_IP,origMediaTransportAddress_Port,origMediaCap_payloadCapability,origMediaCap_maxFramesPerPacket,origMediaCap_g723BitRate,origVideoCap_Codec,origVideoCap_Bandwidth,origVideoCap_Resolution,origVideoTransportAddress_IP,origVideoTransportAddress_Port,origRSVPAudioStat,origRSVPVideoStat,destLegIdentifier,destNodeId,destSpan,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,destCause_location,destCause_value,destPrecedenceLevel,destMediaTransportAddress_IP,destMediaTransportAddress_Port,destMediaCap_payloadCapability,destMediaCap_maxFramesPerPacket,destMediaCap_g723BitRate,destVideoCap_Codec,destVideoCap_Bandwidth,destVideoCap_Resolution,destVideoTransportAddress_IP,destVideoTransportAddress_Port,destRSVPAudioStat,destRSVPVideoStat,dateTimeConnect,dateTimeDisconnect,lastRedirectDn,pkid,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,origCalledPartyRedirectOnBehalfOf,lastRedirectRedirectOnBehalfOf,origCalledPartyRedirectReason,lastRedirectRedirectReason,destConversationId,globalCallId_ClusterID,joinOnBehalfOf,comment,authCodeDescription,authorizationLevel,clientMatterCode,origDTMFMethod,destDTMFMethod,callSecuredStatus,origConversationId,origMediaCap_Bandwidth,destMediaCap_Bandwidth,authorizationCodeValue,outpulsedCallingPartyNumber,outpulsedCalledPartyNumber,origVideoCap_Codec_Channel2,origVideoCap_Bandwidth_Channel2,origVideoCap_Resolution_Channel2,origVideoTransportAddress_IP_Channel2,origVideoTransportAddress_Port_Channel2,origVideoChannel_Role_Channel2,destVideoCap_Codec_Channel2,destVideoCap_Bandwidth_Channel2,destVideoCap_Resolution_Channel2,destVideoTransportAddress_IP_Channel2,destVideoTransportAddress_Port_Channel2,destVideoChannel_Role_Channel2,incomingProtocolID,incomingProtocolCallRef,outgoingProtocolID,outgoingProtocolCallRef,currentRoutingReason,origRoutingReason,lastRedirectingRoutingReason,huntPilotDN,huntPilotPartition,calledPartyPatternUsage,outpulsedOriginalCalledPartyNumber,outpulsedLastRedirectingNumber,wasCallQueued,totalWaitTimeInQueue,mobileCallingPartyNumber,origMobileCallDuration,destMobileCallDuration,mobileCallType
1,2,3766546,41861915,1684148710,2,41861915,1850540810,17186085618,0,16,4,1850540810,20812,4,20,0,0,0,0,0,0,0,0,41861921,2,41861921,189595914,13126463298,2000,0,0,4,189595914,20178,4,20,0,0,0,0,0,0,0,0,1684148731,1684148799,13126463298,ff8c1649-baf9-4688-b3b4-9851cd85a709,12,0,5,5,2,2,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,414EC81EF24911EDA919E72D760FE46E,1,664ABE80000100000000378B0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766548,41861924,1684149625,2,0,-255327478,3385,0,16,4,-255327478,16944,4,20,0,0,0,0,0,0,0,0,41861925,2,41861925,189595914,2000,2000,0,0,4,189595914,20678,4,20,0,0,0,0,0,0,0,0,1684149625,1684149643,2000,b9bd4350-1a9d-4be7-a987-6aa3db5aa2ed,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0000000000397914027EC32400000000,1,7BC0E800000100000000378C0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766549,41861927,1684149644,2,0,-255327478,3385,0,16,4,-255327478,16996,4,20,0,0,0,0,0,0,0,0,41861928,2,41861928,189595914,2000,2000,0,0,4,189595914,20590,4,20,0,0,0,0,0,0,0,0,1684149644,1684149710,2000,f12ffaee-7c31-4f61-9245-ffb9003b5db9,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0000000000397915027EC32700000000,1,87141380000100000000378D0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766556,41861943,1684152537,2,41861943,1850540810,16172726314,0,0,4,1850540810,20814,4,20,0,0,0,0,0,0,0,0,41861944,2,0,-1211628790,13126463332,13126463332,0,16,4,-1211628790,25678,4,20,0,0,0,0,0,0,0,0,1684152539,1684152575,13126463332,c51f5953-e3b6-45b3-9b4f-a587e196433c,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,2A697D12F25211EDAD64E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3766557,41861947,1684152579,2,0,-137886966,3298,0,16,4,-137886966,32426,4,20,0,0,0,0,0,0,0,0,41861948,2,41861948,189595914,2000,2000,0,0,4,189595914,19422,4,20,0,0,0,0,0,0,0,0,1684152579,1684152599,2000,0ea392e9-b7f2-477e-8ed9-398a35a09e88,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5C798900000100000000378E0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766558,41861952,1684152597,2,0,-1513618678,3329,0,393216,4,-1513618678,29178,4,20,0,0,0,0,0,0,0,0,41861958,2,0,-2045439828,2561,2561,0,16,4,-2045439828,23168,4,20,0,0,0,0,0,0,0,0,1684152605,1684152658,2000,0bccb41d-68b0-47db-8a3e-1daad61751bd,17,12,17,17,130,130,0,StandAloneCluster,17,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,2561,2d63f862-412b-feca-5d1d-0107abc8c96c,7,,,0,0,,0,0,0
1,2,3766560,41861973,1684152916,2,0,-691535094,3277,0,16,4,-691535094,17696,4,20,0,0,0,0,0,0,0,0,41861974,2,41861974,1850540810,1.14421E+13,1.14421E+13,0,0,4,1850540810,20886,4,20,0,0,0,0,0,0,0,0,1684152922,1684152941,1.14421E+13,3f8c0a96-b77a-448c-9874-c76a67e113a9,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,0,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2852980000010000000037900A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766562,41861983,1684152982,2,0,113836810,3597,0,16,4,113836810,27376,4,20,0,0,0,0,0,0,0,0,41861984,2,41861984,1850540810,1.14421E+13,1.14421E+13,0,0,4,1850540810,20858,4,20,0,0,0,0,0,0,0,0,1684152988,1684152997,1.14421E+13,3e4831eb-116f-443c-a247-a85df791e86b,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,3,0,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4FA9650000010000000037920A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766561,41861976,1684152950,2,0,-154664182,3271,0,0,4,-154664182,31840,4,20,0,0,0,0,0,0,0,0,41861981,2,41861981,189595914,3515,2000,0,16,4,189595914,17428,4,20,0,0,0,0,0,0,0,0,1684152971,1684153035,3515,5b4e9ec0-035b-4e84-a123-c71736eb0935,0,12,5,5,2,2,0,StandAloneCluster,5,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,461FFD0000010000000037910A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3766563,41861987,1684153483,2,0,1882981130,3280,0,16,4,1882981130,21246,4,20,0,0,0,0,0,0,0,0,41861993,2,0,801637130,2561,2561,0,393216,4,801637130,26440,4,20,0,0,0,0,0,0,0,0,1684153489,1684153624,2000,734556d6-1487-4253-860a-9a029969ec60,12,17,17,17,130,130,0,StandAloneCluster,17,,,0,,3,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,2561,2d63f862-412b-feca-5d1d-0107abc8c96c,7,,,0,0,,0,0,0
